|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
0|Executive Assault|--|--|--|--|NR|Hesketh Studios|Hesketh Studios| July 17, 2015
1|The Witcher 3: Wild Hunt - Hearts of Stone|10 Hours|14 Hours|19 Hours|14 Hours|91| DLC/Expansion|CD Projekt RED|PC, PlayStation 4, Xbox One
2|MadOut Ice Storm|--|--|--|--|50|Nuligine|Nuligine| September 04, 2015
3|Trap Them|--|--|--|--|NR|Juri Schupilo|Juri Schupilo| 1 Month Ago
4|Interstellar Rift|--|--|--|--|NR|Split Polygon|Split Polygon| June 23, 2015
5|Dragon Age: Inquisition - Trespasser DLC|6 Hours|8 Hours|8½ Hours|7 Hours|83| DLC/Expansion|BioWare|PC, PlayStation 4, Xbox One
6|Atonement: Scourge of Time|--|10 Hours|14½ Hours|12½ Hours|65|Astronomic Games|New Reality Games|Adventure, Role-Playing
7|Halo 2600|--|15 Mins|--|15 Mins|NR|Ed Fries|AtariAge|Action, Adventure
8|Mad Snowboarding|--|--|--|--|NR|Denis Lapiner|Denis Lapiner| September 08, 2015
9|Battle Chasers: Nightwar|28½ Hours|41½ Hours|65 Hours|40½ Hours|78|Airship Syndicate|THQ Nordic|Top-Down, Turn-Based, Role-Playing, Strategy
10|Comedy Quest|1½ Hours|--|--|1½ Hours|60|Trav Nash|Crothers Games|Point-and-Click, Adventure
11|Absent|4½ Hours|--|4½ Hours|4½ Hours|70|FNGames|FNGames|Point-and-Click, Adventure
12|Start the Party!|--|--|--|--|NR|Supermassive Games|Sony Computer Entertainment| September 17, 2010
13|Grand Monster Slam|--|--|--|--|NR|Golden Goblins|Rainbow Arts| 1989
14|Konami '88|25 Mins|--|--|25 Mins|45|Konami|Konami| 1988
15|Rugby League Live 3|--|--|--|--|45|Big Ant Studios|Tru Blu Entertainment| September 29, 2015
16|Disney Infinity 3.0|4½ Hours|8 Hours|13 Hours|7½ Hours|73|Avalanche Software|Disney Interactive Studios, LucasArts|Action, Adventure, Sandbox
17|Super 3-D Noah's Ark|4½ Hours|5 Hours|7 Hours|5 Hours|60|Wisdom Tree|Piko Interactive|First-Person, Action
18|Face It: A Game to Fight Inner Demons|--|--|--|--|NR|Tlön Studios|Gamestorming|Action, Adventure
19|The Patrician|--|--|--|--|70|Ascaron|Ascaron| 1992
20|Princess Kaguya: Legend of the Moon Warrior|1½ Hours|--|--|1½ Hours|50|Zoo Corporation|Zoo Corporation| August 04, 2015
21|Klonoa: Moonlight Museum|--|6½ Hours|--|6½ Hours|NR|Namco|Namco|Third-Person, Action, Platform
22|SonSon 2|--|--|--|--|NR|Capcom|NEC Interchannel| January 27, 1989
23|Momotaro Thunderbolt|--|--|--|--|NR|Hudson|Hudson| September 21, 1990
24|Kaizou Chounin Shubibinman|--|--|30 Mins|30 Mins|80|Masaya Games|Masaya Games| March 18, 1989
25|Shockman|--|--|--|--|NR|Winds|Masaya Games| 1992
26|Adventures of Mr. Heli|--|--|--|--|30|IREM|IREM| December 01, 1989
27|Wagyan Paradise|--|--|--|--|NR|Namco|Namco| December 16, 1994
28|Romancing SaGa: Minstrel Song|29½ Hours|--|90 Hours|60 Hours|80|Square Enix|Square Enix|Third-Person, Turn-Based, Role-Playing
29|Gekisha Boy 2|--|--|--|--|NR|IREM|IREM| December 27, 2001
30|Endonesia|--|--|--|--|NR|Vanpool|Enix| May 31, 2001
31|Wolf Fang: Kuhga 2001|29 Mins|--|--|29 Mins|55|Data East|MonkeyPaw Games|Action, Platform, Shooter
32|Hermie Hopperhead: Scrap Panic|--|--|--|--|NR|Yuke's|SCEI| September 29, 1995
33|Ganbare Goemon: Uchuu Kaizoku Akogingu|--|--|--|--|NR|Konami|Konami| March 22, 1996
34|Ganbare Goemon: Shin Sedai Shuumei!|--|--|--|--|NR|Now Production|Konami| December 20, 2001
35|Ganbare Goemon: Oedo Daikaiten|--|--|--|--|NR|Konami|Konami| March 29, 2001
36|Community Pom|--|--|--|--|NR|Fill-In Cafe|Fill-In Cafe| October 30, 1997
37|Ganbare Neo Poke-kun|--|--|--|--|NR|SNK|SNK| June 06, 2000
38|Ganbare Goemon Gaiden: Kieta Ougon Kiseru|5½ Hours|--|--|5½ Hours|NR|Konami|Konami| January 05, 1990
39|Ganbare Goemon Gaiden 2: Tenka no Zaihou|--|--|--|--|NR|Konami|Konami| January 03, 1992
40|Magical Taruruuto-kun|--|--|--|--|NR|Game Freak|Sega| April 24, 1992
41|Hammerin' Harry: Tock Tock Goes the Hammer|--|--|--|--|NR|Biox|Gaps| April 28, 2000
42|Shin Bokura no Taiyou: Gyakushuu no Sabata|--|--|--|--|NR|Kojima Productions|Konami| July 28, 2005
43|Pyuu to Fuku! Jaguar Byuu to Deru! Megane-kun|--|--|--|--|NR|Intense|Konami| April 29, 2004
44|Hammerin' Harry: The Robot Empire's Ambition|--|--|--|--|NR|IREM|IREM| March 25, 1994
45|Chalvo 55|--|--|--|--|NR|Japan System Supply|Japan System Supply| February 21, 1997
46|Total Eclipse (1994)|--|--|--|--|NR|Crystal Dynamics|Crystal Dynamics| 1994
47|Star Wars: Battlefront II (Handheld)|1 Hours|14½ Hours|--|8 Hours|47|Savage Entertainment|LucasArts|Action
48|Who Wants To Be A Millionaire: Special Editions|1 Hours|--|1 Hours|1 Hours|NR|Doublesix Games|Deep Silver|Party
49|Dead in Bermuda|13½ Hours|16 Hours|--|15 Hours|71|CCCP|Plug In Digital|Role-Playing, Simulation
50|Zone 22|--|--|--|--|NR|Nordic Legacy|Nordic Legacy| June 26, 2015
51|The Dream Machine: Chapter 6|--|3 Hours|--|3 Hours|NR| DLC/Expansion|Cockroach Inc.|Point-and-Click, Adventure
52|Cross of the Dutchman|3 Hours|3 Hours|3½ Hours|3 Hours|63|Triangle Studios|Triangle Studios|Action, Adventure
53|Empty Soul|--|--|--|--|NR|ClorithStudio|ClorithStudio| June 30, 2016
54|Glest|--|--|--|--|70|Glest Team|PC| December 25, 2004
55|Race for the Galaxy|--|--|--|--|NR|Temple Gates Games|Temple Gates Games| June 27, 2017
56|Bloody Zombies|--|--|--|--|NR|Paw Print Games|nDreams| September 11, 2017
57|Noitu Love|--|3 Hours|--|3 Hours|70|Fallen Angel Industries|Fallen Angel Industries|Action, Adventure
58|Roguelight|1 Hours|--|3 Hours|2 Hours|10|Daniel Linssen|PC| 2015
59|Torsion|--|--|--|--|NR|ASGames|ASGames| September 14, 2016
60|Witches (2011)|--|--|--|--|NR|Revistronic|Revistronic| December 2011
